 Sr. No , Province , NA , District , Total Candidates , Polling Stations , Wining Party , Elected MNA , Total Male Voters , Total Female Voters , Total Voters , Total Casted Male Voters , Total Casted Female Voters , Total Casted Votes , Correct Votes , Incorect Votes , Total Turnout % , Male Turnout % , Female Turnout % , IND  , IND-win , IND-PTI , PML(N) , PPPP , MQM  , JUI(P) , ANP , JIP , TLP , PML , IPP , MWMP , BNP , PML(Z) , PNAPF , BAP , PMML , PMAP , NP , GDA , PTI(P) , RJUI , PRHP , QWP , MOTP , PNP , AWP , JUIP(S) , TIPM , HQMP , PAT , PIRP , JUI(N) , NDM , TDP , PFM , PTSP , ATP , MATP , PDQM , TJP , PAAP , BPP , SKQM , PTE , GDP , AATP , PMLKQK , PWP , PAL , PAQ , PFP , TTK , PTSB , TLI , AJPP , AMLP , TTP , PT-Insaniat , APP , JUP(IN) , PTI(N) , ALPP , SIC , KIAP , PPP(BS) , TAP , JWP , IJIP , PL , PMP(N) , HKP , NPC , MJAHP , KI , PML(O) , APMM , SDP , TTNP , PPAP(A) , JUI(NP) , PKI(CA) , PSDP , PAAM , Aman.TP , PSP , PMA , KS , AL , PCP , MQMP , ALI , PML-C , PMLSAF , BNP(A) , JQM , HDTB , HDP , AHDP 
 168 , Punjab , NA-169 , Rahim Yar Khan-I , 15 , 321 , PPPP , Syed Murtaza Mehmood ," 286,267 "," 241,679 "," 527,946 "," 147,868 "," 116,600 "," 264,468 "," 254,625 "," 9,843 ", 50 , 52 , 48 ," 22,324 ", -   ," 70,677 "," 73,312 "," 80,421 ", -   ," 1,331 ", -   ," 1,315 "," 5,245 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 169 , Punjab , NA-170 , Rahim Yar Khan-II , 15 , 315 , IND-PTI , Mian Ghous M ," 276,785 "," 132,859 "," 409,644 "," 143,623 "," 107,182 "," 250,805 "," 245,044 "," 5,761 ", 61 , 52 , 81 ," 7,889 ", -   ," 113,684 "," 78,615 "," 35,764 ", -   , -   , -   ," 1,757 "," 6,648 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 687 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 170 , Punjab , NA-171 , Rahim Yar Khan-III , 11 , 301 , IND-PTI , Mumtaz Mustafa ," 282,899 "," 232,222 "," 515,121 "," 141,877 "," 101,902 "," 243,779 "," 236,194 "," 7,585 ", 47 , 50 , 44 ," 61,166 ", -   ," 103,832 "," 10,645 "," 49,018 ", -   , -   , -   ," 2,387 "," 9,146 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 171 , Punjab , NA-172 , Rahim Yar Khan-IV , 12 , 312 , IND-PTI , Javed Iqbal ," 271,195 "," 239,554 "," 510,749 "," 143,267 "," 114,746 "," 258,013 "," 253,822 "," 4,191 ", 51 , 53 , 48 ," 4,642 ", -   ," 129,307 "," 84,527 "," 20,964 ", -   , -   , -   ," 3,933 "," 9,240 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,209 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 172 , Punjab , NA-173 , Rahim Yar Khan-V , 17 , 288 , PPPP , Syed Mustafa Mehmood ," 263,701 "," 221,288 "," 484,989 "," 140,903 "," 103,839 "," 244,742 "," 236,797 "," 7,945 ", 50 , 53 , 47 ," 12,535 ", -   ," 80,304 "," 47,298 "," 83,120 ", -   ," 1,939 ", -   ," 1,433 "," 9,625 ", -   , -   , -   , -   , -   , -   , -   , 543 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 173 , Punjab , NA-174 , Rahim Yar Khan-VI , 14 , 323 , PML(N) , M Azhar Khan Laghari ," 272,823 "," 230,567 "," 503,390 "," 147,761 "," 114,345 "," 262,106 "," 255,122 "," 6,984 ", 52 , 54 , 50 ," 26,307 ", -   ," 67,358 "," 78,680 "," 71,559 ", -   , -   , -   ," 3,045 "," 8,173 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 174 , Punjab , NA-175 , Muzaffargarh-I , 27 , 345 , IND-PTI , Jamshaid Ahmad Dasti ," 242,539 "," 218,515 "," 461,054 "," 153,797 "," 123,125 "," 276,922 "," 266,686 "," 10,236 ", 60 , 63 , 56 ," 19,691 ", -   ," 113,253 "," 47,350 "," 71,997 ", 189 ," 1,240 ", -   ," 1,234 "," 9,930 ", -   , -   , -   , -   , -   , -   , -   ," 1,660 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 142 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 175 , Punjab , NA-176 , Muzaffargarh-II , 21 , 315 , PPPP , Nawabzada Iftikhar Ahmad ," 237,961 "," 208,138 "," 446,099 "," 129,083 "," 108,462 "," 237,545 "," 227,979 "," 9,566 ", 53 , 54 , 52 ," 99,308 ", -   ," 31,076 "," 43,646 "," 53,801 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 148 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 176 , Punjab , NA-177 , Muzaffargarh-III , 23 , 285 , IND-PTI , Muhammad Muazzam Ali Khan Jatoi ," 233,026 "," 200,509 "," 433,535 "," 127,799 "," 104,553 "," 232,352 "," 223,598 "," 8,754 ", 54 , 55 , 52 ," 15,409 ", -   ," 113,892 "," 67,964 "," 5,798 ", -   ," 4,380 ", -   , 501 ," 15,654 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 177 , Punjab , NA-178 , Muzaffargarh-IV , 10 , 281 , PML(N) , Amir Talal Gopang ," 233,685 "," 194,927 "," 428,612 "," 125,577 "," 103,378 "," 228,955 "," 224,337 "," 4,618 ", 53 , 54 , 53 ," 11,129 ", -   ," 87,932 "," 113,816 ", -   , -   , -   , -   ," 1,101 "," 9,944 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 415 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 178 , Punjab , NA-179 , Kot Adu-I , 23 , 267 , IND-PTI , Shabbir Ali Qureshi ," 207,035 "," 179,291 "," 386,326 "," 100,969 "," 74,327 "," 175,296 "," 170,056 "," 5,240 ", 45 , 49 , 41 ," 6,609 ", -   ," 83,740 "," 66,440 "," 3,255 ", -   , -   , -   , 614 ," 8,104 ", -   , -   , -   , -   , -   , -   , -   , 588 , -   , -   , -   , -   , -   , 543 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 163 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 179 , Punjab , NA-180 , Kot Adu-II , 27 , 274 , IND-PTI , Fayaz Hussain ," 209,558 "," 186,442 "," 396,000 "," 121,656 "," 83,860 "," 205,516 "," 198,688 "," 6,828 ", 52 , 58 , 45 ," 16,268 ", -   ," 96,220 "," 15,633 "," 49,461 ", -   , -   , -   , -   ," 18,960 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 2,037 ", -   , -   , -   , -   , -   , -   , -   , -   , 109 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 180 , Punjab , NA-181 , Layyah-I , 14 , 370 , IND-PTI , Amber Majeed ," 308,065 "," 266,193 "," 574,258 "," 198,063 "," 141,921 "," 339,984 "," 328,384 "," 11,600 ", 59 , 64 , 53 ," 23,739 ", -   ," 120,499 "," 95,081 "," 70,912 ", -   , -   , -   , -   ," 15,385 ", -   ," 2,025 ", -   , -   , -   , -   , -   , 743 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 181 , Punjab , NA-182 , Layyah-II , 12 , 338 , IND-PTI , Awais Haider Jhakar ," 288,580 "," 259,147 "," 547,727 "," 188,767 "," 141,047 "," 329,814 "," 320,637 "," 9,177 ", 60 , 65 , 54 ," 27,056 ", -   ," 141,869 "," 118,654 "," 21,365 ", -   , -   , -   , -   ," 10,588 ", -   , -   , -   , -   , -   , -   , -   , 478 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 627 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 182 , Punjab , NA-183 , Taunsa , 18 , 330 , IND-PTI , Khwaja Sheraz mehmood ," 253,142 "," 223,353 "," 476,495 "," 156,560 "," 111,571 "," 268,131 "," 257,282 "," 10,849 ", 56 , 62 , 50 ," 7,476 ", -   ," 134,048 "," 87,203 ", -   , -   ," 14,219 ", -   ," 5,535 "," 4,850 ", -   , -   , -   ," 2,611 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,340 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 183 , Punjab , NA-184 , D.G Khan-I , 12 , 279 , PML(N) , Abdul Qadir Khan ," 245,373 "," 203,366 "," 448,739 "," 144,964 "," 107,628 "," 252,592 "," 246,693 "," 5,899 ", 56 , 59 , 53 ," 11,177 ", -   ," 109,796 "," 110,999 ", -   , -   ," 2,606 ", -   ," 2,542 "," 8,824 ", -   , -   , -   , -   , -   , -   , -   , 749 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 184 , Punjab , NA-185 , D.G Khan-II , 20 , 226 , IND-PTI , Zartaj Gul Wazir ," 213,882 "," 186,473 "," 400,355 "," 105,015 "," 78,526 "," 183,541 "," 176,476 "," 7,065 ", 46 , 49 , 42 ," 42,899 ", -   ," 94,881 ", -   ," 26,621 ", 147 ," 3,171 ", -   ," 3,561 "," 3,739 ", -   , -   , -   , -   , -   , -   , -   , 921 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 189 , -   , -   , -   , -   , -   , -   , -   , 347 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 185 , Punjab , NA-186 , D.G Khan-III , 17 , 232 , PML(N) , Awais Ahmad Khan Laghari ," 210,263 "," 176,741 "," 387,004 "," 149,524 "," 66,915 "," 216,439 "," 212,043 "," 4,396 ", 56 , 71 , 38 ," 3,735 ", -   ," 97,949 "," 99,870 "," 4,079 ", -   ," 1,436 ", -   ," 1,545 "," 3,429 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 186 , Punjab , NA-187 , Rajanpur-I , 18 , 237 , PML(N) , Ammar Ahmad Khan Laghari ," 213,839 "," 181,398 "," 395,237 "," 109,291 "," 85,124 "," 194,415 "," 186,775 "," 7,640 ", 49 , 51 , 47 ," 13,779 ", -   ," 67,284 "," 78,539 "," 18,297 ", -   , -   , -   ," 2,800 "," 4,379 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ," 1,697 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 187 , Punjab , NA-188 , Rajanpur-II , 10 , 219 , PML(N) , Hafeez ur Rehman Darashik ," 203,760 "," 171,001 "," 374,761 "," 111,327 "," 77,917 "," 189,244 "," 181,694 "," 7,550 ", 50 , 55 , 46 ," 1,783 ", -   ," 70,206 "," 85,936 "," 13,579 ", -   , -   , -   ," 6,738 "," 3,452 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 188 , Punjab , NA-189 , Rajanpur-III , 12 , 211 , IND , Shamsher Ali Mazari ," 201,633 "," 174,673 "," 376,306 "," 116,057 "," 78,600 "," 194,657 "," 184,421 "," 10,236 ", 52 , 58 , 45 ," 8,365 "," 83,074 "," 10,798 "," 72,584 ", -   , -   ," 2,331 ", -   ," 1,842 "," 5,427 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 189 , Sindh , NA-190 , Jacobabad , 14 , 434 , PPPP , Ijaz Hussain Jhakrani ," 266,015 "," 231,563 "," 497,578 "," 121,427 "," 90,655 "," 212,082 "," 198,825 "," 13,257 ", 43 , 46 , 39 ," 68,388 ", -   , -   , -   ," 126,169 ", -   , -   , -   ," 1,413 "," 2,855 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 190 , Sindh , NA-191 , Jacobabad-cum-Kashmore , 14 , 358 , PPPP , Ali Jan Mazar ," 270,270 "," 229,688 "," 499,958 "," 136,204 "," 94,318 "," 230,522 "," 214,547 "," 15,975 ", 46 , 50 , 41 ," 5,747 ", -   , -   , -   ," 103,962 ", -   ," 100,652 ", -   ," 3,123 ", 872 , -   , 191 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 191 , Sindh , NA-192 , Jacobabad-cum-Shikarpur , 11 , 273 , PPPP , Mir Shabir Ali Bajrani ," 214,138 "," 187,968 "," 402,106 "," 123,453 "," 98,563 "," 222,016 "," 212,534 "," 9,482 ", 55 , 58 , 52 ," 9,157 ", -   , -   , -   ," 125,197 ", -   ," 76,864 ", -   , 762 , 554 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 192 , Sindh , NA-193 , Shikarpur , 14 , 340 , PPPP , M Sheryar Khan Mehr ," 269,164 "," 237,177 "," 506,341 "," 125,248 "," 100,299 "," 225,477 "," 216,770 "," 8,707 ", 45 , 47 , 42 ," 19,988 ", -   , 956 , -   ," 131,082 ", 348 ," 56,153 ", -   ," 2,097 "," 2,035 ", -   , -   ," 3,871 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 240 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
 193 , Sindh , NA-194 , Larkana-I , 8 , 377 , PPPP , Bilwal Bhutto Zardari ," 232,235 "," 205,973 "," 438,208 "," 103,362 "," 84,119 "," 187,481 "," 180,613 "," 6,868 ", 43 , 45 , 41 ," 1,130 ", -   ," 5,049 ", -   ," 135,112 "," 1,058 "," 35,311 ", -   ," 2,036 ", -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 463 , -   , 454 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
